name_only,img_urls,img_files,address_only
MPG Parking - MP West 52,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/externals/c838f56d99d8dc315edf87db33cdd432.jpg?itok=mXGCc_OE,sitesdefaultfilesstyleslocationteaserpublicexternalsc838f56d99d8dc315edf87db33cdd432.jpg,"265 W 52nd St, NY"
New York Souvenirs,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_New_York_Souvenirs_1_DannyPerez.jpg?itok=T4bV3KUL,sitesdefaultfilesstyleslocationteaserpublicshoppingnewyorksouvenirs1dannyperez.jpg,"711 Seventh Ave, NY"
New York Sports Club,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_New-York-Sports-Clubs_230-W-41st-St.jpg?itok=VO18N3Ew,sitesdefaultfilesstyleslocationteaserpublicshoppingnewyorksportsclubs230w41stst.jpg,"230 W 41st St, NY"
Newsstand,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_NewsStand_2_DannyPerez.jpg?itok=XrrfXZsZ,sitesdefaultfilesstyleslocationteaserpublicshoppingnewsstand2dannyperez.jpg,"1585 Broadway, NY"
NY Gifts,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_NY-Gifts_234-W-42nd-St.jpg?itok=wZiyaEgw,sitesdefaultfilesstyleslocationteaserpublicshoppingnygifts234w42ndst.jpg,"241 W 42nd St, NY"
NY Luggage Electronics,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_NY_Luggage_Electronics_1_DannyPerez.jpg?itok=BxbNUzb7,sitesdefaultfilesstyleslocationteaserpublicshoppingnyluggageelectronics1dannyperez.jpg,"694 Eighth Ave, NY"
NYC Gift,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_NYC_Gift_767_Eighth_Ave_2_DannyPerez.jpg?itok=Dpt4dQl6,sitesdefaultfilesstyleslocationteaserpublicshoppingnycgift767eighthave2dannyperez.jpg,"767 Eighth Ave, NY"
Oakley/Ray-Ban,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Oakley_Ray_Ban_1_DannyPerez.jpg?itok=rsQ5tujL,sitesdefaultfilesstyleslocationteaserpublicshoppingoakleyrayban1dannyperez.jpg,"1515 Broadway, NY"
OMG - The Jeans Store,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_OMG_The_Jean_Store_2_DannyPerez.jpg?itok=xkp4fu8Y,sitesdefaultfilesstyleslocationteaserpublicshoppingomgthejeanstore2dannyperez.jpg,"1658 Broadway, NY"
Pelé Soccer,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_PeleSoccer_interior1.jpg?itok=JMdcDI7-,sitesdefaultfilesstyleslocationteaserpublicshoppingpelesoccerinterior1.jpg,"1560 Broadway, NY"
"Playland Gifts I, Inc.",https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Playland_Gifts_One_1_DannyPerez.jpg?itok=zMMVS_qk,sitesdefaultfilesstyleslocationteaserpublicshoppingplaylandgiftsone1dannyperez.jpg,"711 Seventh Ave, NY"
Reidy Wine & Liquor Inc,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Wine_and_Liquors_1_DannyPerez.jpg?itok=icBARfBR,sitesdefaultfilesstyleslocationteaserpublicshoppingwineandliquors1dannyperez.jpg,"762 Eighth Ave, NY"
Rhone,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/upmidtown.jpg?itok=igy44PKu,sitesdefaultfilesstyleslocationteaserpublicupmidtown.jpg,"1585 Broadway, NY"
Rite Aid,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Rite_Aid_1_DannyPerez.jpg?itok=sz_tVWIC,sitesdefaultfilesstyleslocationteaserpublicshoppingriteaid1dannyperez.jpg,"301 W 50th St, NY"
Roberto's Winds,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_RobertosWinds_1.jpg?itok=nVFQih45,sitesdefaultfilesstyleslocationteaserpublicshoppingrobertoswinds1.jpg,"149 West 46th Street, NY"
Seasons A Floral Design Studio,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Seasons_A_Floral_Design_Studio_1_DannyPerez.jpg?itok=07EuKmEy,sitesdefaultfilesstyleslocationteaserpublicshoppingseasonsafloraldesignstudio1dannyperez.jpg,"888 Eighth Ave, NY"
Sephora,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Sephora_1.jpg?itok=6cBeh0Yj,sitesdefaultfilesstyleslocationteaserpublicsephora1.jpg,"1535 Broadway, NY"
Sheraton Fitness,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/externals/c838f56d99d8dc315edf87db33cdd432.jpg?itok=mXGCc_OE,sitesdefaultfilesstyleslocationteaserpublicexternalsc838f56d99d8dc315edf87db33cdd432.jpg,"811 Seventh Ave, NY"
Sheraton Gift Shop,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/externals/c838f56d99d8dc315edf87db33cdd432.jpg?itok=mXGCc_OE,sitesdefaultfilesstyleslocationteaserpublicexternalsc838f56d99d8dc315edf87db33cdd432.jpg,"811 Seventh Ave, NY"
Skechers,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Skechers_2_DannyPerez.jpg?itok=LiPgV9Ve,sitesdefaultfilesstyleslocationteaserpublicshoppingskechers2dannyperez.jpg,"1515 Broadway, NY"
Steve Madden,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_SteveMadden_1.jpg?itok=L1uMsF1C,sitesdefaultfilesstyleslocationteaserpublicshoppingstevemadden1.jpg,"3 Times Square, NY"
